CATEGORY	BIBTEXKEY	author	title	year	title_translation	publisher	address	pages	booktitle	booktitle_translation	editor	journal	volume	number	school	note	url
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	abdullaevaetal2014	Абдуллаева, Айшат З. and Гаджиахмедов, Нурмагомед Э. and Кадыраджиев, Калсын С. and Керимов, Ибрагим А. and Ольмесов, Нурмагомед Х. and Хангишиев, Джангиши М.	Современный кумыкский язык	2014	Contemporary Kumyk	NA	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	alekseev1994	Alekseev, Mikhail E.	Rutul	1994	NA	Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2	NA	Smeets, Riek	NA	NA	NA	NA	NA	NA
incollection	alekseev2016	Alekseev, Mikhail E.	Rutul	2016	NA	De Gruyter Mouton	Berlin/Boston	3536–3545	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	alekseevetal2008	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	Удинский сборник: Грамматика. Лексика. История языка	2008	Udi. Grammar. Lexicon. History of the language	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	alekseevataev1997	Алексеев, Михаил Егорович and Атаев, Борис Махаевич	Аварский язык	1997	Avar language	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	alekseevetal2012	Алексеев, Михаил Е. and Атаев, Борис Махаевич and Магомедов, Магомед Абдулкадирович and Магомедов, Магомед Ибрагимович and Мадиева, Гюльжаган Исмаиловна and Саидова, Патимат Абдулаевна and Самедов, Джалиль Самедович	Современный аварский язык	2012	NA	Aleph	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	alekseevshixalieva2003	Алексеев, Михаил Е. and Шихалиева, Сабрина Х.	Табасаранский язык	2003	Tabasaran	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	alexeyevverheesdraft2020	Alexeyev, Mikhail and Verhees, Samira	Botlikh	2020	NA	De Gruyter Mouton	Berlin/New York	NA	Handbook of Caucasian Languages. Vol. 2. Nakh-Daghestanian	NA	Koryakov, Yury and Maisak, Timur	NA	NA	NA	NA	To appear	NA
phdthesis	alisultanova2009	Алисултанова, Меседу А.	Лексика андийского языка	2009	NA	Дагестанский научный центр Российской академии наук Институт языка, литературы и искусства им. Гамзата Цадасы	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	authier2009	Authier, Gilles	Grammaire kryz	2009	NA	Peeters	Paris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	authier2010	Authier, Gilles	Azeri morphology in Kryz (East Caucasian)	2010	NA	NA	NA	14--42	NA	NA	NA	Turkic Languages	NA	NA	NA	NA	NA
book	authier2012	Authier, Gilles	Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012	NA	Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	authierdraft2020	Authier, Gilles	Tindi	2020	NA	De Gruyter Mouton	Berlin/New York	CHECK	Handbook of Caucasian Languages. Vol. 2. Nakh-Daghestanian	NA	Koryakov, Yury and Maisak, Timur	NA	NA	NA	NA	NA	NA
incollection	authierhaciyev2016	Authier, Gilles and Adigözel Haciyev	Budugh	2016	NA	De Gruyter Mouton	Berlin/Boston	3546–3563	Word Formation	NA	NA	NA	NA	NA	NA	NA	NA
book	baskakov1940	Баскаков, Николай А.	Ногайский язык и его диалекты: грамматика, тексты и словарь	1940	Nogai and its dialects: grammar, texts and dictionary	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	baskakov1996	Баскаков, Н. А.	Ногайский язык	1996	Nogai language	NA	Москва	328-335	Языки мира. Тюркские языки	Languages of the world. Turkic languages	Н. В. Рогова, О. И. Романова, И. М. Черкасова	NA	NA	NA	NA	NA	NA
incollection	belyaev2018	Belyaev, Oleg	Aorist, Resultative and Perfect in Shiri Dargwa and beyond	2018	NA	Brill	Leiden	80--119	NA	The semantics of verbal categories in Nakh-Daghestanian languages	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
book	bokarev1949a	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка	1949	Grammar sketch of Chamalal	Издательство Академии наук СССР	Москва/Ленинград	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	bokarev1949b	Бокарёв, Анатолий А.	Синтаксис аварского языка	1949	Syntax of Avar	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	bokarev1959	Бокарёв, Евгений А.	Цезские (дидойские) языки Дагестана	1959	Tsezic (Didoic) languages of Daghestan	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	cercvadze1965	Cercvadze, Ilia I.	Andiuri ena	1965	The Andi language	Mecniereba	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	chechuro2019	Chechuro, Ilya	Nominal morphology of Mehweb	2019	NA	Language Science Press	Berlin	39--72	The Mehweb language. Essays on phonology, morphology and syntax	NA	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA
incollection	chumakina2016	Chumakina, Marina	Archi	2016	NA	De Gruyter Mouton	Berlin/Boston	3595–3604	Word Formation	NA	NA	NA	NA	NA	NA	NA	NA
book	comrieetal2015	Comrie, Bernard and Khalilov, Madzhid and Khalilova, Zaira	A grammar of Bezhta	2015	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	comriepolinsky2007	Comrie, Bernard and Polinsky, Maria	Evidentials in Tsez	2007	NA	Peeters	Louvain/Paris/Dudley MA	335--350	'L''Énonciation médiatisée II'	NA	Guentchéva, Zlatka and Landabaru, John	NA	NA	NA	NA	NA	NA
unpublished	creissels2008	Creissels, Denis	Optative in Akhvakh	2008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Questionnaire	http://www.deniscreissels.fr/public/Creissels-opt.Akhv.pdf
incollection	creissels2012	Creissels, Denis	External agreement in the converbal construction of Northern Akhvakh	2012	NA	De Gruyter Mouton	Berlin/New York	127--156	Clause linkage in cross-linguistic perspective	NA	Gast, Volker and Diessel, Holger	NA	NA	NA	NA	NA	NA
