id,lang,idiom,type,genlang_point,map,feature,value1,value1_name,value2,value2_name,case governed by postposition,type of spatial case,instrumental,value_as_in_source,source,page,comment,contributor,form,example_as_in_source,example,gloss,translation_as_in_source,translation,example_source,example_page,example_comment,date
1,Agul,Agul,language,yes,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, superlative",,maisak2014,390,origin: noun in postessive (-q) + stative verb converb with postessive prefix (q-); other forms available in some of the dialects (see Maisak 2014: 390-391),"Sara Zadykyan, Chiara Naccarato",-qaj (-qari),,χawa ʕasker-ar.i-qaj raqː.u hat.u-naw,then army-pl-com way(in) send(pf)-aor,Отправили (юношу) в путь с войском,They sent (the young boy) on the way with the army,maisak2014,140--141,,10.2020
2,Akhvakh,Northern Akhvakh,dialect_toplevel,yes,yes,Comitative,case,Type of marking,comitative,Case form,,,ergative ,,creisselsdraft2020,NA (8),"""postposition"" in Magomedova & Abdulaeva (2007: 679)","Sara Zadykyan, Chiara Naccarato",-k'ena,,dene=la w-oq’-u-wa ošte-k’ena,I=add m-come-m-pot you.pl.obl-com,I also can go with you,I also can go with you,creisselsdraft2020,NA (29),,10.2020
3,Andi,Zilo,village,yes,yes,Comitative,clitic,Type of marking,no_case,Case form,,,instrumental (originally locative),,kayeetal2020,NA (7),,"Sara Zadykyan, Chiara Naccarato",=loj (=noj),,muħammadi rasul=loj w-uʔ-o,Muhammad Rasul=com m-come-pst(aor),Mohammad came with Rasul,Muhammad came with Rasul,kayeetal2020,NA (32),,10.2020
4,Archi,Archib,village,yes,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, comitative",орудийно-сопроводительный падеж,mikailov1967,55,instrumental semantics,"Sara Zadykyan, Chiara Naccarato",-ɬːu,,to-w-mu zon žu-ɬːu ɬːʷa cili-ši č'ebā-r ,dem-m-erg I refl.obl-com together Azerbaijan-all go.imp-quot,"He tells me, let’s go to Azerbaijan together (with him)","He tells me, let’s go to Azerbaijan together (with him)",daniel2006,NA (8),,10.2020
5,Armenian,Eastern Armenian,dialect_toplevel,yes,yes,Comitative,case,Type of marking,instrumental,Case form,,,=comitative,,dum-tragut2009,394,,"Sara Zadykyan, Chiara Naccarato",-ov,,(...) hskayakan banak-ov (...),huge army-ins,(...) with a huge army (...),(...) with a huge army (...),dum-tragut2009,394,,10.2020
6,Armenian,Eastern Armenian,dialect_toplevel,no,no,Comitative,postposition,Type of marking,no_case,Case form,dative,,,,dum-tragut2009,394,het miasin 'together with' + dat,"Sara Zadykyan, Chiara Naccarato",het,,(...) ord-u het (...),son-dat with,(...) with (her) son (...),(...) with (her) son (...),dum-tragut2009,394,,10.2020
7,Avar,Standard Avar,language,yes,yes,Comitative,clitic,Type of marking,no_case,Case form,,,"ergative, absolutive with contact verbs (e.g. hit), sometimes comitative",,alekseevetal2012,236,sometimes instrumental semantics,"Sara Zadykyan, Chiara Naccarato",-gun (-gin),,гьел пионерал-гун унел рукӀана,,Они с пионерами шли,They were going with the pioneers,alekseevetal2012,236,,10.2020
8,Avar,Standard Avar,language,no,no,Comitative,postposition,Type of marking,no_case,Case form,superessive,,,,alekseevetal2012,243,,"Sara Zadykyan, Chiara Naccarato",cadaq,,di-da cadaq,I.obl-sup(ess) with,со мной,with me,alekseevetal2012,243,,10.2020
9,Azerbaijani,Standard Azerbaijani,language,yes,yes,Comitative,postposition,Type of marking,no_case,Case form,nominative/genitive,,=comitative,,shiralievsevortyan1971,164,"instrumental, comitative, path, manner","Sara Zadykyan, Chiara Naccarato",=ilə (=lə/la),,Eyvaz=la Gulšən Xanpəri-nin yan-ı-na get-di-lər,Eyvaz=with Gulšən Xanpəri-gen near-pos-dat go-pst.3-pl,Эйваз и Польщен пошли к Ханпери,Eyvaz and Gulšən went to Xanpəri,shiralievsevortyan1971,164,,10.2020
10,Bagvalal,Kvanada,village,yes,yes,Comitative,clitic,Type of marking,no_case,Case form,,,ergative,,daraganmaisak2001,176,,"Sara Zadykyan, Chiara Naccarato",=eːna (=leːna),,wašː jas=eːna w-aː,brother girl=com m-arrive.pst,Пришёл брат с девочкой.,The brother arrived with a girl,daraganmaisak2001,176,,10.2020
11,Bezhta,Bezhta,village,yes,yes,Comitative,case,Type of marking,spatial,Case form,,superessive,"instrumental, absolutive with contact verbs (e.g. hit)",,madieva1965,76,,"Sara Zadykyan, Chiara Naccarato",-ʁoj,,kača-ʁoj k’uco gej,female_dog-sup(ess) puppy cop,вместе с сукой щенок есть,With the dog there is a puppy,madieva1965,76,,10.2020
12,Botlikh,Botlikh,village,yes,yes,Comitative,clitic,Type of marking,no_case,Case form,,,ergative,,alexeyevverhees2020,NA,,"Sara Zadykyan, Chiara Naccarato",=ɬːi,,huɬːa hinc'u-č'u w-esqe kurt'a=ɬːi wacːi ida min k'ːʷand-i=talu w-aqašː-u,there door-cont m-behind hammer=com brother cop 2sg kill-inf=quot m-hide-cvb,There behind the door is my brother with a hammer to kill you,There behind the door is my brother with a hammer to kill you,alexeyevverhees2020,NA,,10.2020
13,Botlikh,Botlikh,village,no,no,Comitative,postposition,Type of marking,no_case,Case form,contessive,,,,saidovaabusov2012,557,,"Sara Zadykyan, Chiara Naccarato",sandu,,di-č'u sandu,you.sg-cont(ess) together,вместе с тобой,with you,saidovaabusov2012,557,,10.2020
