id	lang	idiom	type	core	feature	value	source	page	comment	contributor
1	Akhvakh	Northern Akhvakh	idiom	yes	elevation	1	magomedbekova1967	75		Timofey Mukhin
2	Andi	Rikvani	village	yes	elevation	1	sulejmanov1957	323-328		Timofey Mukhin
3	Bagvalal	Kvanada	village	yes	elevation	0	Kibrik2001	161		Timofey Mukhin
4	Botlikh	Botlikh	idiom	yes	elevation	1	khalidova2017	78		Timofey Mukhin
5	Chamalal	Upper Gakvari	village	yes	elevation	1	bokarev1949a	62, 66		Timofey Mukhin
6	Godoberi	Godoberi	village	yes	elevation	1	kibriketal1996	37,42		Timofey Mukhin
7	Karata	Karata	idiom	yes	elevation	1	magomedbekova1971	104		Timofey Mukhin
8	Tindi	Tindi	idiom	yes	elevation	1	magomedova2003;magomedova2003	558;126		Timofey Mukhin
9	Avar	Standard Avar	idiom	yes	elevation	1	forker2020	7		Timofey Mukhin
10	Dargwa	Standard Dargwa (Akusha)	idiom	yes	elevation	1	abdullaev1954	139-140		Timofey Mukhin
11	Armenian	Modern Eastern Armenian	idiom	yes	elevation	0	dum-tragut2009	123, 129		Timofey Mukhin
12	Khinalug	Khinalug	village	yes	elevation	1	Kibriketal1972	74		Timofey Mukhin
13	Lak	Standard Lak (Kumukh)	idiom	yes	elevation	1	zhirkov1955	71		Timofey Mukhin
14	Agul	Agul	idiom	yes	elevation	1	maisak2014	400		Timofey Mukhin
15	Archi	Archib	village	yes	elevation	1	kibric1977	124		Timofey Mukhin
16	Budukh	Budukh	idiom	yes	elevation	0	talibov2007	121-122		Timofey Mukhin
17	Kryz	Alik	village	yes	elevation	0	authier2009	85		Timofey Mukhin
18	Lezgian	Standart Lezgian	idiom	yes	elevation	1	Haspelmath1993	190		Timofey Mukhin
19	Rutul	Mukhad	idiom	yes	elevation	0	maxmudova2002	187		Timofey Mukhin
20	Tabasaran	Standard Tabasaran	idiom	yes	elevation	1	alekseevshixalieva2003	57-58		Timofey Mukhin
21	Tsakhur	Mishlesh	village	yes	elevation	0	kibrik1999	133		Timofey Mukhin
22	Udi	Oghuz	idiom	yes	elevation	0	schulze2008	250		Timofey Mukhin
23	Bats	Bats (Zemo-Alwani)	idiom	yes	elevation	0	desheriev1953	169, 177		Timofey Mukhin
24	Chechen	Standard Chechen	idiom	yes	elevation	0	nichols1994	34		Timofey Mukhin
25	Ingush	Ingush	idiom	yes	elevation	0	nichols2011	178, 658		Timofey Mukhin
26	Bezhta	Bezhta	idiom	yes	elevation	0	comrieetal2015	302		Timofey Mukhin
27	Hinuq	Hinuq	idiom	yes	elevation	0	forker2013	132-140		Timofey Mukhin
28	Hunzib	Hunzib	idiom	yes	elevation	0	vandenberg1995	60-61		Timofey Mukhin
29	Khwarshi	Kwantlada	village	yes	elevation	0	khalilova2009	143		Timofey Mukhin
30	Tsez	Tsez	idiom	yes	elevation	0	Imnajshvili1961	101		Timofey Mukhin
31	Azerbaijani	Standard Azerbaijani	idiom	yes	elevation	0	shiralievsevortyan1971	79, 82		Timofey Mukhin
32	Kumyk	Standard Kumyk	idiom	yes	elevation	0	dmitriev1940	78-79		Timofey Mukhin
33	Nogai	Standart Nogai	idiom	yes	elevation	0	baskakov1997	332		Timofey Mukhin
