id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh				Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi				Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal				Gemination	NA	?				George Moroz, Violetta Ivanova
4	Botlikh				Gemination	NA	?				George Moroz, Violetta Ivanova
5	Chamalal				Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi				Gemination	NA	?				George Moroz, Violetta Ivanova
7	Karata				Gemination	attested in ejectives	magomedbekova1971				George Moroz, Violetta Ivanova
8	Tindi				Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian				Gemination	not attested	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa				Gemination	attested in voiceless	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk				Gemination	not attested	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai				Gemination	not attested	baskakov1940				George Moroz, Violetta Ivanova
15	Lak				Gemination	attested in voiceless	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul				Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi				Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur				Gemination	attested in voiceless	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats				Gemination	NA	?				George Moroz, Violetta Ivanova
26	Chechen				Gemination	NA	?				George Moroz, Violetta Ivanova
27	Ingush				Gemination	NA	?				George Moroz, Violetta Ivanova
28	Bezhta				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwarshi				Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
33	North Azerbaijani				Gemination	not attested	shiralievsevortyan1971				George Moroz, Violetta Ivanova
