id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal				Laterals	ɬ ʟ	kibrik2001				George Moroz, Violetta Ivanova
4	Botlikh				Laterals	ɬ ʟ ʟ’	Magomedbekova (YM)				George Moroz, Violetta Ivanova
5	Chamalal				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi				Laterals	ɬ ʟ ʟ’	kibriketal1996				George Moroz, Violetta Ivanova
7	Karata				Laterals	ɬ ʟ ʟ’	magomedbekova1971				George Moroz, Violetta Ivanova
8	Tindi				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian				Laterals	only approximant	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk				Laterals	only approximant	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai				Laterals	only approximant	baskakov1940				George Moroz, Violetta Ivanova
15	Lak				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi				Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats				Laterals	only approximant	?				George Moroz, Violetta Ivanova
26	Chechen				Laterals	only approximant	nichols1994				George Moroz, Violetta Ivanova
27	Ingush				Laterals	only approximant	nichols2011				George Moroz, Violetta Ivanova
28	Bezhta				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib				Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez				Laterals	ɬ ʟ	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwarshi				Laterals	ɬ ʟ ʟ’	khalilova2009				George Moroz, Violetta Ivanova
33	North Azerbaijani				Laterals	only approximant	shiralievsevortyan1971				George Moroz, Violetta Ivanova
