id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh				Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi				Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal				Nasalization	NA	kibrik2001				George Moroz, Violetta Ivanova
4	Botlikh				Nasalization	NA	alexeyevverhees2020				George Moroz, Violetta Ivanova
5	Chamalal				Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi				Nasalization	NA	kibriketal1996				George Moroz, Violetta Ivanova
7	Karata				Nasalization	attested	Magomedbekova				George Moroz, Violetta Ivanova
8	Tindi				Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian				Nasalization	not attested	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk				Nasalization	not attested	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai				Nasalization	not attested	baskakov1940				George Moroz, Violetta Ivanova
15	Lak				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats				Nasalization	NA	?				George Moroz, Violetta Ivanova
26	Chechen				Nasalization	NA	?				George Moroz, Violetta Ivanova
27	Ingush				Nasalization	NA	?				George Moroz, Violetta Ivanova
28	Bezhta				Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib				Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez				Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwarshi				Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
33	North Azerbaijani				Nasalization	not attested	shiralievsevortyan1971				George Moroz, Violetta Ivanova
