id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal				Pharyngealization	not attested	kibrik2001				George Moroz, Violetta Ivanova
4	Botlikh				Pharyngealization	not attested	alexeyevverhees2020				George Moroz, Violetta Ivanova
5	Chamalal				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi				Pharyngealization	not attested	kibriketal1996				George Moroz, Violetta Ivanova
7	Karata				Pharyngealization	not attested	magomedbekova1971				George Moroz, Violetta Ivanova
8	Tindi				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian				Pharyngealization	not attested	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk				Pharyngealization	not attested	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai				Pharyngealization	not attested	baskakov1940				George Moroz, Violetta Ivanova
15	Lak				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats				Pharyngealization	NA	?				George Moroz, Violetta Ivanova
26	Chechen				Pharyngealization	not attested	nichols1994				George Moroz, Violetta Ivanova
27	Ingush				Pharyngealization	not attested	nichols2011				George Moroz, Violetta Ivanova
28	Bezhta				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq				Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez				Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwarshi	Inkhoqwari			Pharyngealization	attested	khalilova2009				George Moroz, Violetta Ivanova
33	Khwarshi	Khwarshi			Pharyngealization	not attested	khalilova2009				George Moroz, Violetta Ivanova
34	North Azerbaijani				Pharyngealization	not attested	shiralievsevortyan1971				George Moroz, Violetta Ivanova
