id	lang	idiom	type	core	feature	value	source	page	comment	contributor
1	Akhvakh	Northern Akhvakh	idiom	yes	system type	polycentric	magomedovaabdulaeva2007	682		Timofey Mukhin
2	Andi	Rikvani	village	yes	system type	polycentric	sulejmanov1957	323-328		Timofey Mukhin
3	Bagvalal	Kvanada	village	yes	system type	monocentric	Kibrik2001	161		Timofey Mukhin
4	Botlikh	Botlikh	idiom	yes	system type	polycentric	khalidova2017	78		Timofey Mukhin
5	Chamalal	Upper Gakvari	village	yes	system type	polycentric	magomedova1999	423		Timofey Mukhin
6	Godoberi	Godoberi	village	yes	system type	polycentric	kibriketal1996	37,42		Timofey Mukhin
7	Karata	Karata	idiom	yes	system type	monocentric	magomedbekova1971	104		Timofey Mukhin
8	Tindi	Tindi	idiom	yes	system type	polycentric	magomedova2003;magomedova2012	558;126		Timofey Mukhin
9	Avar	Standard Avar	idiom	yes	system type	polycentric	forker2020	7		Timofey Mukhin
10	Dargwa	Standard Dargwa (Akusha)	idiom	yes	system type	polycentric	abdullaev1954	139-140		Timofey Mukhin
11	Armenian	Modern Eastern Armenian	idiom	yes	system type	polycentric	dum-tragut2009	123, 129		Timofey Mukhin
12	Khinalug	Khinalug	village	yes	system type	monocentric	Kibriketal1972	74		Timofey Mukhin
13	Lak	Standard Lak (Kumukh)	idiom	yes	system type	polycentric	zhirkov1955	71		Timofey Mukhin
14	Agul	Agul	idiom	yes	system type	polycentric	maisak2014	400		Timofey Mukhin
15	Archi	Archib	village	yes	system type	polycentric	kibric1977	124		Timofey Mukhin
16	Budukh	Budukh	idiom	yes	system type	monocentric	talibov2007	121-122		Timofey Mukhin
17	Kryz	Alik	village	yes	system type	polycentric	authier2009	85		Timofey Mukhin
18	Lezgian	Standart Lezgian	idiom	yes	system type	monocentric	Haspelmath1993	190		Timofey Mukhin
19	Rutul	Mukhad	idiom	yes	system type	polycentric	maxmudova2002	187		Timofey Mukhin
20	Tabasaran	Standard Tabasaran	idiom	yes	system type	monocentric	alekseevshixalieva2003	57-58		Timofey Mukhin
21	Tsakhur	Mishlesh	village	yes	system type	monocentric	kibrik1999	133		Timofey Mukhin
22	Udi	Oghuz	idiom	yes	system type	monocentric	schulze2008	253		Timofey Mukhin
23	Bats	Bats (Zemo-Alwani)	idiom	yes	system type	monocentric	desheriev1953	169, 177		Timofey Mukhin
24	Chechen	Standard Chechen	idiom	yes	system type	monocentric	nichols1994	34		Timofey Mukhin
25	Ingush	Ingush	idiom	yes	system type	monocentric	nichols2011	178, 658		Timofey Mukhin
26	Bezhta	Bezhta	idiom	yes	system type	polycentric	comrieetal2015	302		Timofey Mukhin
27	Hinuq	Hinuq	idiom	yes	system type	monocentric	forker2013	132-140		Timofey Mukhin
28	Hunzib	Hunzib	idiom	yes	system type	polycentric	vandenberg1995	60-61		Timofey Mukhin
29	Khwarshi	Kwantlada	village	yes	system type	monocentric	khalilova2009	143		Timofey Mukhin
30	Tsez	Tsez	idiom	yes	system type	polycentric	Imnajshvili1961	101		Timofey Mukhin
31	Azerbaijani	Standard Azerbaijani	idiom	yes	system type	monocentric	shiralievsevortyan1971	79, 82		Timofey Mukhin
32	Kumyk	Standard Kumyk	idiom	yes	system type	monocentric	dmitriev1940	78-79		Timofey Mukhin
33	Nogai	Standart Nogai	idiom	yes	system type	monocentric	baskakov1997	332		Timofey Mukhin
