id,lang,idiom,type,genlang_point,map,feature,value,source,page,comment,contributor,,,,,
1,Agul,Agul,language,yes,yes,The number of distance contrasts expressed by demonstratives,3,maisak2014,400,"ТА говорит, что везде так",Timofey Mukhin,,,,
2,Akhvakh,Tad-Magitl’,village,yes,yes,The number of distance contrasts expressed by demonstratives,2,magomedovaabdulaeva2007,681-682,,Timofey Mukhin,,,,,
3,Andi,Upper Andi,dialect_toplevel,yes,yes,The number of distance contrasts expressed by demonstratives,3,sulejmanov1957,323-328,"приводит формы,' но не сводит их к основам и показателям (столбец stems-додумка). судя по схеме выше/ниже нет у ''ближе к 1-му лицу''',' у ''ближе 3-му лицу'' (а может еще у кого) нет немаркированной по высоте формы"',Timofey Mukhin,,,
4,Andi,Zilo,village,no,yes,The number of distance contrasts expressed by demonstratives,4,kayeetaldraft2020,12-13,"of which the latter refers to objects that are relatively further away- про все дистальные формы или только одну? 4 степени удаленности? что за distal, от кого? только к medial и distal по высоте",Timofey Mukhin,,,,
5,Archi,Archib,village,yes,yes,The number of distance contrasts expressed by demonstratives,3,kibrik1977,124,,Timofey Mukhin,,,,,
6,Armenian,Eastern Armenian,dialect_toplevel,yes,yes,The number of distance contrasts expressed by demonstratives,3,dum-tragut2009,"123, 129",,Timofey Mukhin,,,,
7,Avar,Standard Avar,language,yes,yes,The number of distance contrasts expressed by demonstratives,3,forkerdraft2020,7,,Timofey Mukhin,,,,,
8,Azerbaijani,Standard Azerbaijani,language,yes,yes,The number of distance contrasts expressed by demonstratives,2,shiralievsevortyan1971,"79, 82",есть еще какой-то hemen (наш). но как он встроен в парадигму не ясно,Timofey Mukhin,,,,
9,Bagvalal,Kvanada,village,no,yes,The number of distance contrasts expressed by demonstratives,3,kibrik2001,"161,658, 670","непонятно насколько она не p-o. в толковании дальнего д есть слушающий, а так нигде нет. в чем разница между удаленными. на с 161 наречия do. а может и нет (с 658) +ТАБЛИЧКА НА СТР 670!",Timofey Mukhin,,
10,Bagvalal,Bagvalal,language,yes,yes,The number of distance contrasts expressed by demonstratives,2,magometova2004,579-580,e семантика не написана,Timofey Mukhin,,,,,
11,Bezhta,Bezhta,village,no,no,The number of distance contrasts expressed by demonstratives,3,madieva1965,"98, 100",видимость?,Timofey Mukhin,,,,
12,Bezhta,Bezhta,language,yes,yes,The number of distance contrasts expressed by demonstratives,3,comrieetal2015,302,ва- маркирует видимость! может отдельно отмечать,Timofey Mukhin,,,,,
13,Botlikh,Botlikh,language,no,no,The number of distance contrasts expressed by demonstratives,3,khalidova2017,78,"есть вертикальность, но нет форм",Timofey Mukhin,,,,
14,Botlikh,Botlikh,village,yes,yes,The number of distance contrasts expressed by demonstratives,5,alexeyevverheesdraft2020,9,"надо решить какое описание выбрать, а то там сказано сильно разное. что значит a little to the side? и вообще что это за система???",,,,,
15,Budukh,Budukh,village,yes,yes,The number of distance contrasts expressed by demonstratives,2,talibov2007,121-122,не очень про значение. что за сбоку?,Timofey Mukhin,,,,,
16,Chamalal,Lower Gakvari,village,yes,yes,The number of distance contrasts expressed by demonstratives,2,magomedova1999,423,,Timofey Mukhin,,,,,
17,Chechen,Standard Chechen,language,yes,yes,The number of distance contrasts expressed by demonstratives,2,nichols1994,34,,Timofey Mukhin,,,,,
18,Dargwa,Standard Dargwa,language,no,no,The number of distance contrasts expressed by demonstratives,3,musaev2002,63,(у участников речи) это что?,Timofey Mukhin,,,,,
19,Dargwa,Kubachi,village,no,yes,The number of distance contrasts expressed by demonstratives,3,magometov1963,"139, 143",,Timofey Mukhin,,,,
