id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi				Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal				Voiced uvular	not attested	kibrik2001				George Moroz, Violetta Ivanova
4	Botlikh				Voiced uvular	not attested	alexeyevverhees2020				George Moroz, Violetta Ivanova
5	Chamalal				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi				Voiced uvular	not attested	kibriketal1996				George Moroz, Violetta Ivanova
7	Karata				Voiced uvular	not attested	magomedbekova1971				George Moroz, Violetta Ivanova
8	Tindi				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian				Voiced uvular	not attested	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug				Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk				Voiced uvular	not attested	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai				Voiced uvular	not attested	baskakov1940				George Moroz, Violetta Ivanova
15	Lak				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh				Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz				Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul				Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur				Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats				Voiced uvular	not attested	?				George Moroz, Violetta Ivanova
26	Chechen				Voiced uvular	not attested	nichols1994				George Moroz, Violetta Ivanova
27	Ingush				Voiced uvular	not attested	nichols2011				George Moroz, Violetta Ivanova
28	Bezhta				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez				Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwvarshi				Voiced uvular	not attested	khalilova2009				George Moroz, Violetta Ivanova
33	North Azerbaijani				Voiced uvular	not attested	shiralievsevortyan1971				George Moroz, Violetta Ivanova
