id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
2034	Standard Armenian		40	45	Armenian	Armenic	Indo-European	Standard Armenian	Armenian	#fff5ee									nucl1235	#dbcfeb	#fff5ee	07.02.2022
2020	Nidzh	Нидж	40,94	47,66833	Udi	Lezgic	East Caucasian		Udi	Nizh	Ниджский							Nizh	udii1243	#004d00	#00cc66	07.02.2023
2036	Standard Azerbaijani		40,977675	46,4736975	Azerbaijani	Oghuz	Turkic	Standard Azerbaijani	Azerbaijani	#cccccc									nort2697	#cccccc	#cccccc	07.02.2024
2021	Oguz	Огуз	41,07083	47,45833	Udi	Lezgic	East Caucasian		Udi	Vartashen	Варташенский							Vartashen	udii1243	#004d00	#00cc66	07.02.2025
1493	Khaput	Хапут	41,142778	48,194444	Kryz	Lezgic	East Caucasian		Kryz	Khaput	Хапутлинский							Khaput	kryt1240	#009933	#00cc66	07.02.2026
1494	Alyk	Алык	41,1775	48,23694	Kryz	Lezgic	East Caucasian		Kryz	Alik	Аликский							Alik	kryt1240	#009933	#00cc66	07.02.2027
1491	Khynalyg	Хыналыг	41,17778	48,12694	Khinalug	Khinalug	East Caucasian		Khinalug	Khinalug	Хиналугский							Khinalug	khin1240	#cccc00	#cccc00	07.02.2028
612	Budug	Будуг	41,18611	48,36861	Budukh	Lezgic	East Caucasian		Budukh									Budukh	budu1248	#006600	#00cc66	07.02.2029
1495	Dzhek	Джек	41,19694	48,24167	Kryz	Lezgic	East Caucasian		Kryz	Dzhek	Джекский							Dzhek	kryt1240	#009933	#00cc66	07.02.2030
1496	Yergyudzh	Йергюдж	41,209167	48,283056	Kryz	Lezgic	East Caucasian		Kryz									Yergyudzh	kryt1240	#009933	#00cc66	07.02.2031
1497	Kryz	Крыз	41,21556	48,24667	Kryz	Lezgic	East Caucasian		Kryz	Kryz Proper	Крызский							Kryz	kryt1240	#009933	#00cc66	07.02.2032
1498	Kryz-Dekhne	Крыз-Дехне	41,234681	48,304612	Kryz	Lezgic	East Caucasian		Kryz	Kryz Proper	Крызский							Kryz-Dekhne	kryt1240	#009933	#00cc66	07.02.2033
1771	Kurush	Куруш	41,28083	47,83	Lezgian	Lezgic	East Caucasian		Lezgian	Samur	Самурский	Kurush	Курушский					Kurush	lezg1247	#00cc00	#00cc66	07.02.2034
1626	Fiy	Фий	41,289126	47,564416	Lezgian	Lezgic	East Caucasian		Lezgian	Samur	Самурский	Fiy	Фийский					Fiy	lezg1247	#00cc00	#00cc66	07.02.2035
